dim,scale,method,w,c,sum_c,grid_type,basis_type,method_type,n_samples,seed,f_name,ell_2_error,ell_infty_error,needed_time
11,1,Smolyak,"[0.05784,0.9691 ,0.88379,0.92775,0.99491,0.1739 ,0.39624,0.75824,0.69602, 0.1539 ,0.81583]","[0.46003,0.45875,1.10062,1.21533,1.18898,0.18752,1.7985 ,0.54439,0.26546, 1.82164,1.95877]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0177458081488956,0.0859321836571264,0.232
11,1,Smolyak,"[0.86213,0.80952,0.65524,0.55086,0.08699,0.40845,0.37269,0.25975,0.72342, 0.49588,0.08105]","[0.4165 ,1.29246,0.14401,1.61015,0.93662,0.90908,1.1206 ,1.55997,0.65792, 1.28254,1.07014]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0131914866373113,0.0561924593115835,0.232
11,1,Smolyak,"[0.26703,0.87863,0.79743,0.65845,0.85058,0.86729,0.70836,0.83701,0.69747, 0.68014,0.61861]","[1.45126,0.30579,1.69834,1.68094,0.05639,1.59219,0.24846,0.64612,1.4335 , 0.30995,1.57706]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.020128647937217,0.0959338116559443,0.232
11,1,Smolyak,"[0.83213,0.50747,0.00639,0.28704,0.61693,0.98119,0.63181,0.2598 ,0.63401, 0.53999,0.77985]","[0.19373,1.37816,0.98019,1.7439 ,0.6191 ,1.14563,1.68783,0.18564,1.69725, 1.24571,0.12285]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0169607289779588,0.0528857209396091,0.232
11,1,Smolyak,"[0.30096,0.70817,0.06735,0.58217,0.34588,0.62092,0.04574,0.87154,0.97349, 0.96888,0.74965]","[0.29098,1.69611,0.055  ,0.04949,0.72386,1.09301,1.72327,1.52842,0.99741, 0.61206,2.2304 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0184402094582985,0.0865495841113025,0.232
11,1,Smolyak,"[0.42618,0.45139,0.16362,0.79481,0.69368,0.22077,0.08238,0.6805 ,0.65451, 0.27326,0.95086]","[0.28776,0.82358,1.79754,0.79956,1.21636,0.7574 ,0.52237,1.87443,0.77976, 1.70321,0.43805]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0185434420800864,0.0891717116298617,0.232
11,1,Smolyak,"[0.2131 ,0.03113,0.65167,0.36853,0.86436,0.47321,0.96819,0.18553,0.86862, 0.7766 ,0.77092]","[1.70386,1.53493,1.26304,0.26471,0.0656 ,1.85728,1.24374,1.60655,0.97119, 0.2366 ,0.25249]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0136359443068936,0.0691731171871756,0.232
11,1,Smolyak,"[0.68557,0.43031,0.20052,0.49159,0.06421,0.58197,0.26899,0.79756,0.31036, 0.45522,0.01162]","[0.16614,0.90011,1.10065,1.37603,0.66887,1.5938 ,1.97252,1.78844,0.09086, 1.10195,0.24064]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0161602307609903,0.0584800731901676,0.232
11,1,Smolyak,"[0.24205,0.98666,0.1425 ,0.49889,0.61816,0.70246,0.55965,0.00977,0.32646, 0.51771,0.08787]","[1.09514,0.10371,0.24543,1.23974,0.41452,1.77264,2.15345,2.50053,0.62514, 0.52311,0.3266 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0164614742012145,0.0503581723085333,0.232
11,1,Smolyak,"[0.63643,0.70648,0.03159,0.93621,0.05197,0.5413 ,0.70906,0.87097,0.71409, 0.80173,0.33945]","[1.58624,0.15596,1.74196,1.06601,1.59105,0.88054,1.25287,1.02476,1.4242 , 0.15891,0.11749]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0131260285589405,0.071281885623452,0.232
